date,usd,eur,gbp,jpy
2010-10-08,0.350000,0.861976,0.747506,0.119000
2010-10-11,,0.843770,0.764539,
2010-10-12,0.370000,0.815467,0.751545,0.120000
2010-10-13,0.370000,0.826205,0.766533,0.125000
2010-10-14,0.380000,0.837519,0.765381,0.120000
2010-10-15,0.370000,0.857990,0.796205,0.125000
2010-10-18,0.380000,0.930530,0.785939,0.125000
2010-10-19,0.370000,0.958973,0.772026,0.130000
2010-10-20,0.350000,0.996842,0.724941,0.130000
2010-10-21,0.370000,1.020417,0.697873,0.130000
2010-10-22,0.350000,1.051068,0.739810,0.136000
2010-10-25,0.370000,1.026556,0.749139,0.136000
2010-10-26,0.400000,1.080951,0.843687,0.136000
2010-10-27,0.400000,1.100520,0.855184,0.137000
2010-10-28,0.370000,1.088469,0.863075,0.132000
2010-10-29,0.340000,1.062293,0.819158,0.137000
2010-11-01,0.340000,1.060207,0.817971,0.138000
2010-11-02,0.340000,1.059857,0.818770,0.138000
2010-11-03,0.340000,1.039287,0.805494,
2010-11-04,0.330000,1.027913,0.775948,0.135000
2010-11-05,0.380000,0.998482,0.790150,0.135000
2010-11-08,0.410000,1.000931,0.822404,0.139000
2010-11-09,0.460000,0.999237,0.848224,0.139000
2010-11-10,0.440000,1.006729,0.923414,0.139000
2010-11-11,,0.990197,0.939326,0.140000
2010-11-12,0.510000,1.037907,0.978774,0.149000
2010-11-15,0.530000,1.079031,1.002389,0.150000
2010-11-16,0.510000,1.064404,1.009615,0.145000
2010-11-17,0.500000,1.068008,0.982470,0.151000
2010-11-18,0.520000,1.100168,1.029419,0.161000
2010-11-19,0.520000,1.117300,1.002744,0.156000
2010-11-22,0.490000,1.072033,0.956717,0.161000
2010-11-23,0.450000,0.989237,0.890722,
2010-11-24,0.530000,0.999629,0.928931,0.162000
2010-11-25,,1.018490,0.951477,0.169000
2010-11-26,0.510000,1.016277,0.943315,0.189000
2010-11-29,0.520000,0.999276,0.925189,0.196000
2010-11-30,0.450000,0.985364,0.849121,0.188000
2010-12-01,0.530000,0.996280,0.924502,0.179000
2010-12-02,0.550000,0.954149,0.953048,0.182000
2010-12-03,0.490000,0.960229,0.955956,0.184000
2010-12-06,0.420000,0.911906,0.936721,0.174000
2010-12-07,0.540000,0.938904,0.975848,0.179000
2010-12-08,0.630000,1.007161,1.054315,0.208000
2010-12-09,0.640000,1.059151,1.021437,0.224000
2010-12-10,0.640000,1.084176,1.044434,0.219000
2010-12-13,0.610000,1.096595,1.101653,0.235000
2010-12-14,0.660000,1.086057,1.147844,0.230000
2010-12-15,0.680000,1.092131,1.147115,0.225000
2010-12-16,0.660000,1.111321,1.162719,0.215000
2010-12-17,0.610000,1.101222,1.132054,0.200000
2010-12-20,0.620000,1.075805,1.093147,0.201000
