"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-14";"CHF";"9J";
"1988-01-14";"CHF";"10J";
"1988-01-14";"CHF";"20J";
"1988-01-14";"CHF";"30J";
"1988-01-14";"EUR";"1J";
"1988-01-14";"EUR";"2J";
"1988-01-14";"EUR";"3J";
"1988-01-14";"EUR";"4J";
"1988-01-14";"EUR";"5J";
"1988-01-14";"EUR";"6J";
"1988-01-14";"EUR";"7J";
"1988-01-14";"EUR";"8J";
"1988-01-14";"EUR";"9J";
"1988-01-14";"EUR";"10J";
"1988-01-14";"EUR";"20J";
"1988-01-14";"EUR";"30J";
"1988-01-14";"KTA";"2J";
"1988-01-14";"KTA";"5J";
"1988-01-14";"KTA";"10J";
"1988-01-14";"KTB";"2J";
"1988-01-14";"KTB";"5J";
"1988-01-14";"KTB";"10J";
"1988-01-14";"PFI";"2J";
"1988-01-14";"PFI";"5J";
"1988-01-14";"PFI";"10J";
"1988-01-14";"GBA";"2J";
"1988-01-14";"GBA";"5J";
"1988-01-14";"GBA";"10J";
"1988-01-14";"GBB";"2J";
"1988-01-14";"GBB";"5J";
"1988-01-14";"GBB";"10J";
"1988-01-14";"GBC";"2J";
"1988-01-14";"GBC";"5J";
"1988-01-14";"GBC";"10J";
"1988-01-14";"IHA";"2J";
"1988-01-14";"IHA";"5J";
"1988-01-14";"IHA";"10J";
"1988-01-14";"IHB";"2J";
"1988-01-14";"IHB";"5J";
"1988-01-14";"IHB";"10J";
"1988-01-15";"CHF";"1J";
"1988-01-15";"CHF";"2J";
"1988-01-15";"CHF";"3J";
"1988-01-15";"CHF";"4J";
"1988-01-15";"CHF";"5J";
"1988-01-15";"CHF";"6J";
"1988-01-15";"CHF";"7J";
"1988-01-15";"CHF";"8J";
"1988-01-15";"CHF";"9J";
"1988-01-15";"CHF";"10J";
"1988-01-15";"CHF";"20J";
"1988-01-15";"CHF";"30J";
"1988-01-15";"EUR";"1J";
"1988-01-15";"EUR";"2J";
"1988-01-15";"EUR";"3J";
"1988-01-15";"EUR";"4J";
"1988-01-15";"EUR";"5J";
"1988-01-15";"EUR";"6J";
"1988-01-15";"EUR";"7J";
"1988-01-15";"EUR";"8J";
"1988-01-15";"EUR";"9J";
"1988-01-15";"EUR";"10J";
"1988-01-15";"EUR";"20J";
"1988-01-15";"EUR";"30J";
"1988-01-15";"KTA";"2J";
"1988-01-15";"KTA";"5J";
"1988-01-15";"KTA";"10J";
"1988-01-15";"KTB";"2J";
"1988-01-15";"KTB";"5J";
"1988-01-15";"KTB";"10J";
"1988-01-15";"PFI";"2J";
"1988-01-15";"PFI";"5J";
"1988-01-15";"PFI";"10J";
"1988-01-15";"GBA";"2J";
"1988-01-15";"GBA";"5J";
"1988-01-15";"GBA";"10J";
"1988-01-15";"GBB";"2J";
"1988-01-15";"GBB";"5J";
"1988-01-15";"GBB";"10J";
"1988-01-15";"GBC";"2J";
"1988-01-15";"GBC";"5J";
"1988-01-15";"GBC";"10J";
"1988-01-15";"IHA";"2J";
"1988-01-15";"IHA";"5J";
"1988-01-15";"IHA";"10J";
"1988-01-15";"IHB";"2J";
"1988-01-15";"IHB";"5J";
"1988-01-15";"IHB";"10J";
"1988-01-18";"CHF";"1J";"3.427"
"1988-01-18";"CHF";"2J";"3.699"
"1988-01-18";"CHF";"3J";"3.755"
"1988-01-18";"CHF";"4J";"3.786"
"1988-01-18";"CHF";"5J";"3.82"
"1988-01-18";"CHF";"6J";"3.858"
"1988-01-18";"CHF";"7J";"3.9"
"1988-01-18";"CHF";"8J";"3.942"
"1988-01-18";"CHF";"9J";"3.984"
"1988-01-18";"CHF";"10J";"4.025"
"1988-01-18";"CHF";"20J";"4.292"
"1988-01-18";"CHF";"30J";
"1988-01-18";"EUR";"1J";
"1988-01-18";"EUR";"2J";
"1988-01-18";"EUR";"3J";
"1988-01-18";"EUR";"4J";
"1988-01-18";"EUR";"5J";
"1988-01-18";"EUR";"6J";
"1988-01-18";"EUR";"7J";
"1988-01-18";"EUR";"8J";
"1988-01-18";"EUR";"9J";
"1988-01-18";"EUR";"10J";
"1988-01-18";"EUR";"20J";
"1988-01-18";"EUR";"30J";
"1988-01-18";"KTA";"2J";
"1988-01-18";"KTA";"5J";
"1988-01-18";"KTA";"10J";
"1988-01-18";"KTB";"2J";
"1988-01-18";"KTB";"5J";
"1988-01-18";"KTB";"10J";
"1988-01-18";"PFI";"2J";
"1988-01-18";"PFI";"5J";
"1988-01-18";"PFI";"10J";
"1988-01-18";"GBA";"2J";
"1988-01-18";"GBA";"5J";
"1988-01-18";"GBA";"10J";
"1988-01-18";"GBB";"2J";
"1988-01-18";"GBB";"5J";
"1988-01-18";"GBB";"10J";
"1988-01-18";"GBC";"2J";
"1988-01-18";"GBC";"5J";
"1988-01-18";"GBC";"10J";
"1988-01-18";"IHA";"2J";
"1988-01-18";"IHA";"5J";
"1988-01-18";"IHA";"10J";
"1988-01-18";"IHB";"2J";
"1988-01-18";"IHB";"5J";
"1988-01-18";"IHB";"10J";
"1988-01-19";"CHF";"1J";
"1988-01-19";"CHF";"2J";
"1988-01-19";"CHF";"3J";
"1988-01-19";"CHF";"4J";
"1988-01-19";"CHF";"5J";
"1988-01-19";"CHF";"6J";
"1988-01-19";"CHF";"7J";
"1988-01-19";"CHF";"8J";
"1988-01-19";"CHF";"9J";
"1988-01-19";"CHF";"10J";
"1988-01-19";"CHF";"20J";
"1988-01-19";"CHF";"30J";
"1988-01-19";"EUR";"1J";
"1988-01-19";"EUR";"2J";
"1988-01-19";"EUR";"3J";
"1988-01-19";"EUR";"4J";
"1988-01-19";"EUR";"5J";
"1988-01-19";"EUR";"6J";
"1988-01-19";"EUR";"7J";
"1988-01-19";"EUR";"8J";
"1988-01-19";"EUR";"9J";
"1988-01-19";"EUR";"10J";
"1988-01-19";"EUR";"20J";
"1988-01-19";"EUR";"30J";
"1988-01-19";"KTA";"2J";
"1988-01-19";"KTA";"5J";
"1988-01-19";"KTA";"10J";
"1988-01-19";"KTB";"2J";
"1988-01-19";"KTB";"5J";
"1988-01-19";"KTB";"10J";
"1988-01-19";"PFI";"2J";
"1988-01-19";"PFI";"5J";
"1988-01-19";"PFI";"10J";
"1988-01-19";"GBA";"2J";
"1988-01-19";"GBA";"5J";
"1988-01-19";"GBA";"10J";
"1988-01-19";"GBB";"2J";
